When did this shutdown start?,What is the current status of the internet shutdown? Is it ongoing?,When did the shutdown finish?,Which country did the shutdown occur in?,What is the scope of the shutdown?,Which area(s) city(ies) or region(s) were affected by this shutdown?,What type of shutdown is this?,What services did this shutdown impact?,"Was this a full-network, or service-based, shutdown? ",Who ordered the shutdown?,Who was the decision maker? Please provide any further information you have on who ordered the shutdown.,What was the actual cause of the shutdown?,"Please provide further details on the actual cause of the internet shutdown, if known.",What is your primary source for this shutdown? ,"Please enter the reference links of the source if applicable. If there are more than one, divide them with a "";"" mark.",What was the official justification given for the shutdown?,Please give any further details on the official justification of the internet shutdown.,Has the Government acknowledged the shutdown?,Did the government or relevant authority give any legal justification or refer to a law?,"Did the government or relevant authority use a memo, court order or similar instrument? Please provide a brief summary.","Please include a link to the official statement relating to the shutdown, if available.","Please include a quote from the relevant authorities relating to the justification of the shutdown, if available.",Was Facebook specifically targeted?,Was Twitter specifically targeted?,Was WhatsApp specifically targeted?,Was Instagram specifically targeted?,Was Telegram specifically targeted?,Please list any other web-based services that were specifically targeted during the service-based shutdown. ,Were SMS services specifically targeted during the shutdown?,Were calling services specifically targeted during the shutdown?,Which Telco was involved in the shutting down of the internet or services?,Did the Telco acknowledge the shutdown happened?,"Please provide a source (one URL) if the Telco has acknowledged the shutdown, if possible.","Please provide a quote from the Telco if they have acknowledged the shutdown, if possible.",Did this shutdown involve an election?,Did this shutdown involve physical violence?,Have any human rights abuses been reported that specifically relate to this shutdown?,"Which of the following groups, if any, were impacted by the internet shutdown?",Please provide any further details on the users targeted in the shutdown.,Did users affected by the shutdown receive advance warning?,Please provide a short one- or two-sentence summary of the shutdown and the event that triggered it. Please note: This may be displayed publicly by Access Now.,"Please provide a reference link to an article about the shutdown on Access Now's homepage, if applicable.",Please include any notes about this shutdown you feel are relevant for the KIO team. They will not be shared with external partners. 
6/22/2019,Ended,2/3/2021,Myanmar,"It affected more than one city in the same state, province, or region","Buthidaung, Rathedaung, Myabon, Paletwa, Ponnagyun, Myauk-U, Kyauktaw and Minbya Townships in Rakhine State",Throttle,Mobile,Full network,Executive government,Myanmar Ministry of Transport and Communications (MoTC) ,Political instability,,News media article,https://www.accessnow.org/update-internet-access-censorship-myanmar/; https://www.telenor.com/network-restored-in-eight-townships-in-myanmar/,Fake news/ Hate speech/ Incendiary content/ Promoting violence,"Acts of terrorism, act of disturbance, and illegal activities  ",Yes,Unknown,,,,No,No,No,No,No,,No,No,Myanmar: Telenor,Yes,https://www.telenor.com/network-restored-in-eight-townships-in-myanmar/,,No,Yes,Unknown,Ethnic minorities,,No,"Predominantly Rohingya, residents in Myanmar’s Chin and Rakhine states have been suffering through lengthy internet shutdowns and slowdowns since June 2019. As another obstacle to internet access for minority communities, authorities in Myanmar deactivated more than 34 million SIM cards this year, after people failed to reregister them with National Registration Card (NRC) numbers.",https://www.accessnow.org/elections-in-myanmar-government-must-reinstate-full-internet-keep-it-on/,
8/5/2019,Ended,2/5/2021,India,"It affected more than one city in the same state, province, or region",Jammu and Kashmir,Throttle,Mobile,Full network,Executive government,,Political instability,,News media article,https://indianexpress.com/article/india/jk-4g-internet-mobile-timeline-7176408/; https://www.washingtonpost.com/world/asia_pacific/indias-internet-shutdown-in-kashmir-is-now-the-longest-ever-in-a-democracy/2019/12/15/bb0693ea-1dfc-11ea-977a-15a6710ed6da_story.html; http://jkhome.nic.in/pdf/07(TSTS)%20of%202021%20dated%2005.02.2021.pdf; http://jkhome.nic.in/pdf/02(TSTS)%20of%202021%20dated%2022.01.2021.pdf; http://jkhome.nic.in/pdf/01(TSTS)of2021_0001.pdf,National security/ Counter-terrorism,,Yes,Yes,"Yes. During 2021 the government issued Orders 01(TSTS) OF 2021, 02(TSTS) OF 2021, and 07(TSTS) of 2021, which referred to this incident. In 2021, mobile internet was still throttled until 05 of February, in most districts of Jammu and Kashmir.",http://jkhome.nic.in/pdf/07(TSTS)%20of%202021%20dated%2005.02.2021.pdf;,,No,No,No,No,No,,No,No,,Unknown,,,No,Unknown,Unknown,,,No,"During 2021 the government issued Orders 01(TSTS) OF 2021, 02(TSTS) OF 2021, and 07(TSTS) of 2021, which referred to the ongoing mobile internet throttling. It ended by 05 of February. Before then, most districts of Jammu and Kashmir only had 2g mobile internet during 2021. In previous years and continuous to this event, there were full broadband and mobile shutdowns.",https://www.accessnow.org/after-a-partial-restoration-of-internet-access-in-jammu-kashmir-access-now-urges-full-access/,
11/4/2020,Ongoing,,Ethiopia,"It affected locations in more than one state, province, or region",Tigray,Shutdown,"Broadband, Mobile",Full network,Unknown,,Political instability,Civil war in Tigray region,News media article,https://www.youtube.com/watch?v=uEoa-7J6zpY; https://www.business-humanrights.org/en/latest-news/ethiopia-jakenn-publishing-urges-govt-says-current-internet-shutdown-threats-access-to-information-on-ongoing-conflict-in-tigray-region/; https://twitter.com/accessnow/status/1323964706382643200; https://cpj.org/2021/05/journalists-shutdowns-myanmar-ethiopia-kashmir/,Sabotage/ Third-party Action,https://www.youtube.com/watch?v=uEoa-7J6zpY,Yes,No,,,,No,No,No,No,No,,No,No,,Yes,,,No,Yes,Yes,,,No,"Full shutdown is ongoing in the Tigray region during a civil war. This happened at the start of the conflict and the government blamed the Tigray military forces for destruction of infrastructure. Nevertheless, after promises of restoration of services by the National Government, the internet services remain inaccessible in Tigray, amid various reports of human rights abuses.",,
12/30/2020,Ended,1/5/2021,India,"It affected more than one city in the same state, province, or region",Shopian and Pulwama districts,Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of armed militants ,CSO KIO partners,https://thekashmirwalla.com/2021/01/in-kashmir-new-year-starts-with-internet-shutdown-in-two-districts/ ,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. ",http://jkhome.nic.in/pdf/146(TSTS)2020.pdf; ,,No,No,No,No,No,,No,No,,,,,No,Yes,Unknown,,,No,"A mobile internet shutdown occurred in Pulwama and Shopian district during and after a security forces operation resulting in the killing of three youth, alleged armed militants, in Srinagar.",,
1/11/2021,Ended,1/12/2021,Tajikistan,"It affected locations in more than one state, province, or region",,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Unknown,,News media article,https://eurasianet.org/tajikistan-authorities-somehow-find-more-room-for-internet-censorship; https://rus.ozodi.org/a/31043869.html ,Unknown,,No,,,,,Yes,No,No,Yes,No,Gmail,No,No,,No,,,No,No,No,,,No,"Facebook, instagram and gmail were reported to be shutdown on Jan 11 and 12 across Tajikistan.  ",,
1/12/2021,Ongoing,,Uganda,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Executive government,,Elections,,News media article,https://www.nytimes.com/2021/01/13/world/africa/uganda-facebook-ban-elections.html; https://techjaja.com/govt-lifts-social-media-ban-but-there-is-a-catch/,Fake news/ Hate speech/ Incendiary content/ Promoting violence,Museveni claimed that Facebook was taking sides during the election. ,Yes,Unknown,,,,Yes,Yes,Yes,Yes,Yes,"Youtube, Signal",No,No,,Yes,,,Yes,No,Unknown,,,No,"Facebook and many other social media platforms were shutdown on Jan 12, preceding the national elections in Uganda. Some platforms were restored by Feb 10. Facebook remained blocked.",https://www.accessnow.org/the-world-is-watching-uganda-elections/,
1/13/2021,Ended,1/18/2021,Uganda,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Full network,Executive government,Uganda Communications Commission issued the order to the ISPs,Elections,,CSO KIO partners,https://ooni.org/post/2021-uganda-general-election-blocks-and-outage/#facebooks-website; https://techjaja.com/govt-lifts-social-media-ban-but-there-is-a-catch/; https://www.accessnow.org/the-world-is-watching-uganda-elections/; https://www.accessnow.org/internet-shutdown-stories-from-uganda/; https://www.reuters.com/article/uganda-internet-rights/100-hours-in-the-dark-how-an-election-internet-blackout-hit-poor-ugandans-idUSL4N2JU2YQ; https://ooni.org/post/2021-uganda-general-election-blocks-and-outage/#facebooks-website; https://www.facebook.com/MTNUG/posts/5644233898936144,Fake news/ Hate speech/ Incendiary content/ Promoting violence,,Yes,No,,https://ooni.org/post/2021-uganda-general-election-blocks-and-outage/#facebooks-website,,No,No,Yes,No,No,,No,No,,Yes,,,Yes,No,Unknown,,,No,"The Uganda government ordered the shutdown of broadband and mobile services starting Jan 13, which lasted until Jan 18. This shutdown was preceded of a service-base shutdown that outlasted it (see other entry). ",https://www.accessnow.org/the-world-is-watching-uganda-elections/;,
1/25/2021,Unknown,,Iran (Islamic Republic of),"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Unknown,,News media article,https://www.aljazeera.com/news/2021/1/26/iran-blocks-signal-messaging-app-after-whatsapp-exodus,Unknown,,No,,,,,No,No,No,No,No,Signal,No,No,,Unknown,,,No,No,No,,,No,Signal messaging services were blocked on Jan 25 after a large increasing downloads.,,
1/26/2021,Ended,1/26/2021,India,"It affected more than one city in the same state, province, or region",Kashmir Valley districts,Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Religious holiday/anniversary,"""The mobile internet telephone services have been temporarily suspended in the valley for ensuring peaceful Republic Day celebrations.""",CSO KIO partners,https://www.business-standard.com/article/current-affairs/internet-services-on-mobile-devices-suspended-in-kashmir-on-republic-day-121012600301_1.html,Precautionary measure,"Inspector General of Kashmir Police ordered a shutdown given the anniversary of the Republic Day to prevent strikes, protests and antinational activities. ",Yes,Yes,"Yes. Inspector General of Kashmir Police ordered a shutdown given the anniversary of the Republic Day to prevent strikes, protests and antinational activities. Order - 03 (TSTS) of 2021.",http://jkhome.nic.in/pdf/03(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,No,,,No,No,No,,,No,"Internet mobile services were suspended in Kashmir Valley on the 26th January as a precautionary measure, given the anniversary of the Republic Day",,
1/26/2021,Ended,2/6/2021,India,"It affected locations in more than one state, province, or region","National Capital Territory of Dehli, and Western Uttar Pradesh / Ghazipur border site with Delhi",Shutdown,Mobile,Full network,Executive government,,Protests,Farmers protests during the Republic DAY,News media article,https://www.timesnownews.com/delhi/article/farmers-protest-govt-orders-shut-down-of-internet-services-in-parts-of-delhi-ncr-details-of-areas-affected/712140; https://indianexpress.com/article/india/farmers-protest-internet-shutdown-delhi-7162537/; https://telecom.economictimes.indiatimes.com/news/farmers-protest-indian-telcos-asked-to-suspend-internet-services-in-delhi-ncr-region/80465905; https://www.accessnow.org/internet-shutdown-in-delhi-on-indias-republic-day/; https://www.nationalheraldindia.com/national/govt-orders-internet-shutdown-in-areas-close-to-farmers-protest-sites-in-delhi; https://www.thequint.com/cyber/internet-shutdown-at-farmer-protest-sites-amplifying-misinformation-rumours; https://www.indiatoday.in/india/story/internet-suspended-ghazipur-border-adjoining-areas-farmers-protest-1764186-2021-01-30,Public safety/ Quell unrest / Restore public order,"""In the interest of maintaining public safety and averting public emergency, it is necessary and expedient to order the temporary suspension of the internet services in the areas of Singhu, Ghazipur, Tikri, Mukarba Chowk and Nangloi and their adjoining areas in the NCT of Delhi from 1200 hours to 23:59 hours on jan 26, 2021.""",Yes,Unknown,,https://indianexpress.com/article/india/farmers-protest-internet-shutdown-delhi-7162537/,,No,No,No,No,No,,Yes,No,,Yes,,,No,Unknown,Unknown,,,Unknown,"Government-mandated internet shutdowns in response to the #FarmersProtest. Mobile internet and SMS has been targeted in an attempt to block protester communication. The Internet has not been fully restored in most areas that were initially cut off on January 26, and the shutdowns have reportedly been extended in some areas until February 6.",https://www.accessnow.org/internet-shutdown-in-delhi-on-indias-republic-day/,
1/27/2021,Ended,2/1/2021,India,"It affected more than one city in the same state, province, or region",State of Haryana,Shutdown,Mobile,Full network,State government,,Protests,Farmers protests,CSO KIO partners,https://www.medianama.com/2021/01/223-internet-shutdown-haryana-farmer-protests/,Precautionary measure,Precautionary measure due to Farmers protests occurring in Delhi,Yes,Unknown,,https://www.newindianexpress.com/nation/2021/jan/31/haryana-government-extends-suspension-of-mobile-internet-in-14-districts-till-5-pm-on-february-1-2257632.html,"""This order has been issued to prevent any disturbance of peace and public order in the jurisdiction of these districts of Haryana. Any person who will be found guilty of violation of aforesaid order will be liable for legal action under relevant provisions.""",No,No,No,No,No,,Yes,No,,Unknown,,,No,No,No,,,No,"Internet was suspended in Jhajjhar, Sonipat and Palwal districts in Haryana on 27th January 2021. It was later suspended in 14 new districts in Haryana and the order of shutdown extended in 3 districts. Later, internet shutdown was further extended in the 17 districts till February 3rd.",,
1/27/2021,Ended,1/27/2021,Cuba,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Full network,Unknown,,Protests,Protests in front of the Minister of Culture,News media article,https://latamjournalismreview.org/articles/cuba-sees-increase-of-124-in-violations-against-press-freedom-in-january-and-journalists-anticipate-trend-of-greater-repression/; https://cpj.org/2021/01/cuban-internet-access-cut-amid-free-expression-protest-journalist-harassed/; https://twitter.com/DougMadory/status/1354798601868816389,Unknown,,No,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,No,,,No,Internet was shutdown during 2 hours at Jan 27 during a protests in front of the Minister of Culture.,,
1/29/2021,Ended,1/30/2021,India,"It only affected one city, county, or village",Police district of Awantipora in Jammu and Kashmir,Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of armed militants ,Other,http://jkhome.nic.in/pdf/04(TSTS)2021.pdf,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. Order -  04(TSTS) of 2021.",http://jkhome.nic.in/pdf/04(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,,,,No,Yes,Unknown,,,No,"A mobile internet shutdown occurred in Police district of awantipora during and after a security forces operation resulting in the killing of three youth, alleged armed militants, in Mandoora Tral, Awantipora.",,
1/29/2021,Ended,1/31/2021,India,"It affected more than one city in the same state, province, or region",District of Pulwama,Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of armed militants ,Other,http://jkhome.nic.in/pdf/05(TSTS)2021.pdf,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. Order -  05(TSTS) of 2021.",http://jkhome.nic.in/pdf/05(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,"A mobile internet shutdown occurred in Pulwama district during and after a security forces operation resulting in the killing of 2 alleged armed militants, in Lelhar, district of Pulwama.",,
1/31/2021,Ended,2/1/2021,Myanmar,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Full network,Military,,Political instability,Military Coup,News media article,https://twitter.com/lawyerpants/status/1356034534408642562; ,Unknown,,Unknown,,,,,No,No,No,No,No,,Unknown,Yes,,Yes,https://www.telenor.com/media/announcement/statement-on-the-situation-in-myanmar,,No,Yes,Yes,,,No,The Military sent troops to IPSs and demand the shutdown of mobile and broadband services during the day of the Military coup.  ,https://www.accessnow.org/myanmar-internet-shutdown-military-coup/,
